RegisteredVoter/District;Voter Percentage;Index
276938;0,076273495;0,716992189
110104;0,030324538;0,772888942
232940;0,064155688;0,974192657
77352;0,021304073;1,100141742
49084;0,013518579;1,15581675
60169;0,016571579;1,414319069
60039;0,016535775;0,944920958
81494;0,022444851;1,044226128
93540;0,025762527;1,516252656
178265;0,049097251;1,27298369
164222;0,045229567;1,036379584
125799;0,034647211;1,127435619
199565;0,054963638;1,137115414
92604;0,025504736;1,531578263
108574;0,02990315;1,045040422
279905;0,077090658;1,01341722
257693;0,07097309;1,100769314
172555;0,047524619;1,150719381
140853;0,038793342;1,208325901
61606;0,016967353;0,920886105
111080;0,030593345;0,766097984
59162;0,016294234;1,43839228
159757;0,043999829;0,887787536
144587;0,03982175;0,588560272
186618;0,051397811;0,608002544
146350;0,040307311;0,581470202