"iso","name_0","id_1","name_1","id_2","district","sunni_2005","sunni_2009","sunni_2013","shia_2005","shia_2009","shia_2013","druze_2005","druze_2009","druze_2013","evang_2005","evang_2009","evang_2013","alawite_2005","alawite_2009","alawite_2013","grkorth_2005","grkorth_2009","grkorth_2013","maronite_2005","maronite_2009","maronite_2013","grkcth_2005","grkcth_2009","grkcth_2013","minorities_2005","minorities_2009","minorities_2013","armorth_2005","armorth_2009","armorth_2013","armcth_2005","armcth_2009","armcth_2013","total_2005","total_2009","total_2013","sunni_diff_1","sunni_diff_2","shia_diff_1","shia_diff_2","druze_diff_1","druze_diff_2","evang_diff_1","evang_diff_2","alawite_diff_1","alawite_diff_2","grkorth_diff_1","grkorth_diff_2","maronite_diff_1","maronite_diff_2","grkcth_diff_1","grkcth_diff_2","minorities_diff_1","minorities_diff_2","armorth_diff_1","armorth_diff_2","armcth_diff_1","armcth_diff_1.1"
"LBN","Lebanon",5,"North Lebanon",23,"Zgharta",7203,8312,9054,58,68,141,0,0,7,46,43,87,14,20,67,2337,2200,4177,56883,60086,58749,157,179,822,21,17,427,35,35,124,58,74,162,66812,71034,73817,0.920441322,0.5640285566,0.0089180534,0.0952841044,0,0.0094829104,-0.0083155152,0.0573246378,0.0072012116,0.0626094688,-0.4007662063,2.5614797032,-0.5512349578,-5.0003043206,0.0170042771,0.8615726222,-0.0074992779,0.5545253354,-0.0031136194,0.1187108054,0.0173647127,0.1152861764
"LBN","Lebanon",5,"North Lebanon",17,"Akkar",127074,143428,165787,1843,2179,2915,0,1,11,686,666,781,9661,10744,12182,35515,35948,36407,27085,28176,29259,2152,2228,3242,32,61,881,50,50,158,19,27,64,204117,223508,251687,1.9158337034,1.699002337,0.0719956504,0.183275395,0.0004474113,0.0039230965,-0.0381058457,0.0123301434,0.0739170155,0.0331519692,-1.3157940614,-1.6183517286,-0.663090243,-0.9811067142,-0.0574649621,0.2912755201,0.0116148049,0.322745856,-0.002125191,0.040405821,0.0027717177,0.0133483046
"LBN","Lebanon",5,"North Lebanon",18,"Batroun",2864,3197,3462,839,958,952,0,2,7,11,5,62,39,38,45,8919,9232,9825,41046,42882,40420,1556,1594,1940,172,224,755,175,202,253,54,58,99,55675,58392,57820,0.3309249786,0.512482484,0.1336756676,0.0058534006,0.0034251267,0.0086814108,-0.0111947045,0.0986665156,-0.0049719859,0.0127503334,-0.2093725371,1.1820051922,-0.2861505593,-3.5315355008,-0.0649651954,0.6254143977,0.0746784057,0.9221623542,0.0316135967,0.0916270568,0.0023372068,0.0718923556
"LBN","Lebanon",5,"North Lebanon",20,"Koura",6737,7407,7942,1008,1125,1145,2,1,9,155,166,223,238,428,452,36625,37341,34699,10733,11007,12516,184,182,685,66,71,531,50,50,104,1,0,27,55799,57778,58333,0.7460653086,0.7951765569,0.1406239086,0.0157604635,-0.0018535311,0.013697897,0.0095238313,0.0949813115,0.3142354403,0.034095189,-1.0089717386,-5.1440653649,-0.1846080884,2.4056189545,-0.0147562251,0.8592936361,0.0046024531,0.7874067732,-0.0030692119,0.0917486044,-0.0017921468,0.0462859788
"LBN","Lebanon",5,"North Lebanon",21,"Minniye-Danniyeh",73166,82868,91496,54,58,276,0,0,2,0,1,39,16,17,65,7479,7961,7740,5967,6354,7000,57,57,168,5,5,443,0,0,17,3,2,6,86747,97323,107252,0.8032686107,0.1619690752,-0.0026546234,0.1977424905,0,0.0018647671,0.0010275063,0.0353354519,-0.000976834,0.0431373226,-0.4416457912,-0.9633293708,-0.3498487294,-0.0020904981,-0.0071404626,0.098072574,-0.0006263564,0.4079083788,0,0.0158505203,-0.0014033202,0.0035392886
"LBN","Lebanon",5,"North Lebanon",19,"Bcharry",5,19,93,0,0,22,0,0,0,0,0,54,0,0,7,258,220,1280,43417,46003,45055,91,102,521,29,32,382,23,25,73,0,0,21,43823,46401,47508,0.0295378596,0.1548091108,0,0.0463079902,0,0,0,0.1136650669,0,0.0147343605,-0.1146042316,2.2201553554,0.0687140102,-4.3056007761,0.0121693334,0.8768345564,0.0027887349,0.7351110722,0.0013942937,0.0997801821,0,0.0442030816
"LBN","Lebanon",5,"North Lebanon",22,"Tripoli",139018,157634,167599,1282,1539,2579,6,22,34,564,460,479,13167,15224,14565,12042,12432,11929,4261,4339,5166,1187,1281,1456,871,885,2201,1887,1924,1783,261,352,266,174546,196092,208057,0.7422968913,0.166590147,0.0503588179,0.4547284685,0.0077817344,0.005122452,-0.0885402234,-0.0043583959,0.2201325754,-0.7632173079,-0.5591596603,-0.6063563327,-0.2284534093,0.2702365373,-0.0267851641,0.0465434316,-0.0476900885,0.6065644075,-0.0999182687,-0.124195409,0.0299767954,-0.0516579984
"LBN","Lebanon",3,"Beqaa",6,"Baalbek",30996,33845,40136,165840,184414,204300,0,1,31,33,35,98,96,84,107,2069,2063,2644,19005,20084,21666,15032,14922,14921,45,63,1409,157,136,210,4,4,45,233277,255651,285567,-0.0484566452,0.8160940064,1.0436099023,-0.5931792845,0.0003911583,0.0104644378,-0.0004557334,0.0206271517,-0.0082954989,0.0046120217,-0.0799689278,0.118917802,-0.2909444425,-0.2690113639,-0.6069779051,-0.6118200267,0.0053525988,0.4687613796,-0.0141044397,0.0203403856,-0.0001500667,0.0141934903
"LBN","Lebanon",3,"Beqaa",7,"WestBekaa-Rachaya",51732,57751,62695,14931,16997,18763,16359,17949,19185,348,380,415,0,0,0,9484,9634,9760,9214,9493,10335,9914,10055,9487,157,153,736,36,28,103,22,46,64,112197,122486,131543,1.0408772228,0.512159112,0.5688454923,0.3870889158,0.0733158722,-0.0693351231,7.08164910058571e-05,0.0052466532,0,0,-0.5876002416,-0.4457616554,-0.4620672928,0.1064729625,-0.627141945,-0.9970111052,-0.0150202054,0.434600624,-0.009226664,0.0554416365,0.017946945,0.0110979796
"LBN","Lebanon",3,"Beqaa",10,"Zahle",34436,41936,45041,19770,23587,25527,721,817,885,1277,727,776,9,9,17,14391,15506,16439,23962,25838,27639,28900,30919,29591,6437,7112,8519,8326,8993,8788,1835,2591,1796,140064,158035,165018,1.9499903606,0.7587042175,0.8101987921,0.5440467364,0.002209409,0.0193310423,-0.45170139,0.010227052,-0.000730693,0.0046069655,-0.4628381978,0.150192984,-0.7583507116,0.3995390955,-1.0687713206,-1.632670222,-0.095487298,0.662198197,-0.25391381,-0.3650319509,0.3293948592,-0.5511441174
"LBN","Lebanon",4,"Mount Lebanon",13,"Chouf",46755,51417,53821,3470,3831,5541,51191,58057,59110,597,653,728,0,0,8,927,822,2996,50727,54056,52373,11893,12791,12313,123,142,1876,43,47,228,48,50,145,165774,181866,189139,0.067853536,0.1838772857,0.0132847522,0.8230954729,1.0429610192,-0.6708063718,-0.0010732817,0.0258465406,0,0.0042296935,-0.1072139197,1.132039089,-0.8771112485,-2.0327656079,-0.1410248816,-0.5231732512,0.0038820638,0.913783662,-9.57256656570452e-05,0.0947030617,-0.001462314,0.0491704254
"LBN","Lebanon",4,"Mount Lebanon",16,"Matn",2643,2836,3438,3935,4417,4857,2118,2240,2277,2570,1164,1026,182,199,191,23545,24860,25501,72300,76187,75706,15578,16631,17185,7202,7744,11369,25525,25819,25410,7037,8591,6373,162635,170688,173333,0.0363996152,0.3219542917,0.1682340754,0.2143583061,0.0100332556,0.0013204144,-0.8982796519,-0.0900217915,0.004679958,-0.0063944695,0.0873821228,0.1475580004,0.1798653732,-0.9586184523,0.1650046119,0.1709335192,0.1086117963,2.0221181917,-0.5682241635,-0.4667859326,0.7062930069,-1.3564220776
"LBN","Lebanon",4,"Mount Lebanon",12,"Baabda",7908,8728,9959,31969,35414,37487,23671,25963,27068,490,488,626,10,12,19,11073,11460,12399,54889,57280,55357,7447,7721,8587,2180,2352,3650,1442,1451,1585,705,705,765,141784,151574,157502,0.180745332,0.5648508117,0.8164871998,0.4368022486,0.4338134306,0.0568863888,-0.0236411653,0.0755003177,0.0008639431,0.0041464138,-0.2491035312,0.3116175486,-0.9229905876,-2.6432670385,-0.1584741596,0.358112724,0.0141672368,0.7657135768,-0.0597518152,0.0490482382,-0.0321158834,0.0205887703
"LBN","Lebanon",4,"Mount Lebanon",14,"Jbeil",1660,1894,2558,13200,14625,15289,0,0,8,76,107,134,10,4,8,2389,2536,3560,51508,54581,52719,439,501,1460,159,179,1014,1006,1041,1034,43,44,116,70490,75512,77900,0.1532666518,0.775486432,0.64172217,0.2586615551,0,0.0102695764,0.033882621,0.0303160718,-0.0088892381,0.0049724051,-0.0307265995,1.2115548782,-0.7901308145,-4.6060021779,0.0406873331,1.2107269827,0.0114845064,1.06462039,-0.0485639541,-0.0512460865,-0.0027326761,0.0906399731
"LBN","Lebanon",4,"Mount Lebanon",11,"Aley",1374,1559,2329,3140,3481,3908,56599,61339,64106,896,852,891,0,0,6,14694,15154,14404,27461,28418,28158,3760,3888,4603,558,616,1798,675,648,833,114,174,188,109271,116129,121224,0.0850483929,0.5787641237,0.1239390945,0.2262554587,1.0228005132,0.0625584212,-0.0863128131,0.0013360992,0,0.0049495149,-0.3980193451,-1.1671458519,-0.6600337291,-1.2429887043,-0.092985242,0.4491019539,0.0197876014,0.9527600542,-0.0597300753,0.1291575035,0.0455056027,0.0052514267
"LBN","Lebanon",4,"Mount Lebanon",15,"Kesrwan",239,330,506,1302,1465,1575,3,5,26,125,102,190,8,9,9,993,1126,3342,77356,79221,75115,2820,3041,4580,1287,1420,2852,1509,1519,1589,662,745,791,86304,88983,90575,0.0939292866,0.1877956952,0.1377612035,0.0925085291,0.0021429663,0.0230864419,-0.0302082188,0.0951422712,0.0008447327,-0.0001777748,0.1148262647,2.4243496206,-0.6026333572,-6.0980927335,0.1499872487,1.6390762275,0.1045701687,1.5529613004,-0.0414028807,0.0472795839,0.0701825855,0.0360708384
"LBN","Lebanon",6,"South Lebanon",24,"Jezzine",910,960,1370,9720,10828,11390,443,506,541,24,19,150,0,0,5,89,91,1418,32176,33483,32331,7948,8219,8313,42,39,793,30,26,122,15,16,81,51397,54187,56514,0.0011112909,0.6525354349,1.0710430387,0.1716453843,0.0718853,0.0234816098,-0.0116315717,0.230357197,0,0.0088473653,-0.0052248986,2.3411758272,-0.8113020296,-4.5827404152,-0.2960928979,-0.4582152137,-0.0097438493,1.3312191469,-0.0103871772,0.1678937239,0.0003427947,0.1137999397
"LBN","Lebanon",6,"South Lebanon",26,"Tyr",11362,12352,14775,117991,129661,144087,0,3,19,472,273,304,0,0,10,498,492,777,2181,2194,2738,6563,6574,6062,229,227,1083,1061,1017,1075,120,263,152,140477,153056,171082,-0.0179079823,0.5659607391,0.7216357377,-0.4937281076,0.0019600669,0.0091457186,-0.1576319755,-0.0006735198,0,0.0058451503,-0.0330554595,0.1327172045,-0.119105062,0.1669398842,-0.3767792372,-0.7518298424,-0.0147042807,0.4847180462,-0.0908211028,-0.0361090254,0.0864092953,-0.0829862476
"LBN","Lebanon",6,"South Lebanon",25,"Saida",43250,48007,51059,68477,71668,79598,81,75,74,540,610,627,0,1,8,363,366,1016,11170,11468,12444,13874,14210,13173,135,160,1058,196,201,321,43,48,78,138129,146814,159456,1.3878871825,-0.6784520894,-0.7591648928,1.1029647497,-0.0075557894,-0.0046772599,0.0245528057,-0.0222797901,0.000681134,0.004335924,-0.0135027931,0.3878713393,-0.2753994854,-0.0072104446,-0.365320558,-1.4177003305,0.0112467061,0.5545244878,-0.004988419,0.0644015278,0.0015641095,0.0162218858
"LBN","Lebanon",1,"An Nabatiyah",4,"Nabatiyeh",818,1010,2813,101960,116044,123989,2,27,13,0,0,50,5,7,21,36,43,216,3506,3685,3856,1006,1072,1051,3,4,590,0,9,14,9,9,15,107345,121910,132628,0.0664510542,1.2924899047,0.2047890995,-1.7019611425,0.0202843343,-0.0123456341,0,0.03769943,0.001084062,0.0100918198,0.0017351945,0.1275896156,-0.243382936,-0.1153416395,-0.057827999,-0.0868951977,0.0004863817,0.4415721648,0.0073824953,0.0031733451,-0.0010016866,0.0039273337
"LBN","Lebanon",1,"An Nabatiyah",1,"Bent-Jbel",187,191,1812,94946,108407,116201,0,1,13,40,42,68,0,0,8,0,4,271,10756,11660,11900,2853,3020,3040,0,1,550,45,47,66,16,21,45,108843,123394,133974,-0.0170183728,1.197712506,0.6222845155,-1.1203595609,0.0008104122,0.0088929631,-0.0027128701,0.0167188055,0,0.0059713079,0.0032416487,0.1990364052,-0.4327178251,-0.5670855176,-0.1737619218,-0.1783477814,0.0008104122,0.4097170036,-0.0032545819,0.0111739176,0.0023185831,0.0165699511
"LBN","Lebanon",1,"An Nabatiyah",2,"Marjayoun-Hasbaya",20821,23336,25385,69161,78725,83820,12817,14333,15082,1246,1254,1227,0,0,7,10319,10785,9822,6030,6358,7226,3550,3644,3844,282,300,945,66,61,101,34,30,51,124326,138826,147510,0.0624309906,0.3994714237,1.0789270151,0.115588983,0.0152477671,-0.1000433375,-0.0989148741,-0.0714809962,0,0.004745441,-0.5312356731,-1.1101860504,-0.270318271,0.3188171902,-0.2305277564,-0.0189435184,-0.0107251807,0.4245366841,-0.009146345,0.0245300383,-0.0057376726,0.0129641423
"LBN","Lebanon",2,"Beirut",5,"Beirut",180934,199858,207835,56871,63928,71913,4793,5154,5175,7161,4225,3754,97,122,162,41657,42365,39472,24376,24700,28429,19272,19688,19701,21111,21612,31458,48169,47912,45210,9056,11761,8335,413497,441325,461444,1.5288719466,-0.2457655326,0.731802997,1.098869703,0.0087090319,-0.0463672954,-0.7744698967,-0.1438111909,0.0041855734,0.0074631588,-0.4748158458,-1.0454841123,-0.2983026747,0.5640951764,-0.1996237186,-0.1916876171,-0.2084070759,1.9202239538,-0.7927792781,-1.0588931232,0.474828941,-0.8586431205
