,Sunni,Shia,Alawite,Druze,Greek Orthodox,Greek Catholic,Maronite,Armenian Orthodox,Armenian Catholic,Evangelical,Minorities,Male,Female
Akkar,165787,2915,12182,11,36407,3242,29259,158,64,781,881,125793,125894
Aley,2329,3908,6,64106,14404,4603,28158,833,188,891,1798,62011,59213
Baabda,9959,37487,19,27068,12399,8587,55357,1585,765,626,3650,80809,76693
Baalbek,38680,160025,17,27,2629,14904,21083,206,45,94,1321,121660,117371
Batroun,3462,952,45,7,9825,1940,40420,253,99,62,755,29513,28307
Bcharry,93,22,7,0,1280,521,45055,73,21,54,382,23662,23846
Beirut1,6793,2202,39,297,21832,11724,17378,15049,4057,1017,11692,48267,43813
Beirut2,32546,28475,42,139,2713,2279,4025,25342,3256,417,5495,54609,50120
Beirut3,168496,41236,81,4739,14927,5698,7026,4819,1022,2320,14271,138422,126213
Bekaa-West,46609,18603,0,445,2656,8857,8347,64,25,341,528,43200,43275
Bent-Jbel,1812,116201,8,13,271,3040,11900,66,45,68,550,67908,66066
Chouf,53821,5541,8,59110,2996,12313,52373,228,145,728,1876,97239,91900
Hasbaya,21545,1246,1,14152,3773,1041,1922,31,21,311,261,22679,21625
Hermel,1456,44275,90,4,15,17,583,4,0,4,88,24016,22520
Jbeil,2558,15289,8,8,3560,1460,52719,1034,116,134,1014,39932,37968
Jezzine,1370,11390,5,541,1418,8313,32331,122,81,150,793,29033,27481
Karya Saida,3972,73393,6,42,715,11586,11137,88,44,474,601,50871,51187
Kesrwan,506,1575,9,26,3342,4580,75115,1589,791,190,2852,46428,44147
Koura,7942,1145,452,9,34699,685,12516,104,27,223,531,29267,29066
Marjayoun,3840,82574,6,930,6049,2803,5304,70,30,916,684,52226,50980
Metn-Nord,3438,4857,191,2277,25501,17185,75706,25410,6373,1026,11369,89197,84136
Nabatiyeh,2813,123989,21,13,216,1051,3856,14,15,50,590,66859,65769
Rachaya,16086,160,0,18740,7104,630,1988,39,39,74,208,22468,22600
Saida,47087,6205,2,32,301,1587,1307,233,34,153,457,30604,26794
Tripoli,167599,2579,14565,34,11929,1456,5166,1783,266,479,2201,108146,99911
Tyr,14775,144087,10,19,777,6062,2738,1075,152,304,1083,85861,85221
Zahle,45041,25527,17,885,16439,29591,27639,8788,1796,776,8519,84685,80333
Zgharta,9054,141,67,7,4177,822,58749,124,162,87,427,36911,36906