ISO;NAME_0;ID_1;ID_2;GOVERNORAT;district;diff_voter_registration;registered_female;registered_female_pct;registered_male;registered_male_pct;total_registered
LBN;Lebanon;1;1;An Nabatiyah;Bent Jbayl;;72182;;70911;;143093
LBN;Lebanon;1;4;An Nabatiyah;Nabatiyeh;;70820;;70916;;141736
LBN;Lebanon;2;53;Beirut;Beirut-three;;143538;;132491;;276029
LBN;Lebanon;3;10;Beqaa;Zahleh;;86526;;83826;;170352
LBN;Lebanon;4;11;Mount Lebanon;Aley;;63554;;61090;;124644
LBN;Lebanon;4;12;Mount Lebanon;Baabda;;83178;;79407;;162585
LBN;Lebanon;4;13;Mount Lebanon;Chouf;;100701;;96191;;196892
LBN;Lebanon;4;14;Mount Lebanon;Jbayl;;41205;;39429;;80634
LBN;Lebanon;4;15;Mount Lebanon;Kesrouan;;47503;;45362;;92865
LBN;Lebanon;4;16;Mount Lebanon;Matn;;91080;;86067;;177147
LBN;Lebanon;5;17;North Lebanon;Akkar;;134199;;135711;;269910
LBN;Lebanon;5;18;North Lebanon;Batroun;;30245;;29117;;59362
LBN;Lebanon;5;19;North Lebanon;Bcharreh;;24263;;24537;;48800
LBN;Lebanon;5;20;North Lebanon;Koura;;29919;;29678;;59597
LBN;Lebanon;5;21;North Lebanon;Miniyeh-Danniyeh;;57308;;58355;;115663
LBN;Lebanon;5;22;North Lebanon;Tripoli;;113433;;106755;;220188
LBN;Lebanon;5;23;North Lebanon;Zgharta;;38159;;38326;;76485
LBN;Lebanon;6;24;South Lebanon;Jezzine;;29859;;28490;;58349
LBN;Lebanon;6;251;South Lebanon;Saida;;32011;;28599;;60610
LBN;Lebanon;6;26;South Lebanon;Sour;;90995;;91707;;182702
LBN;Lebanon;6;252;South Lebanon;Zahrany;;54051;;54944;;108995
LBN;Lebanon;2;52;Beirut;Beirut-two;;55730;;51839;;107569
LBN;Lebanon;2;51;Beirut;Beirut-one;;48220;;44203;;92423
LBN;Lebanon;3;6;Beqaa;Baalbek-Hermel;;128058;;124861;;252919
LBN;Lebanon;3;7;Beqaa;WestBekaa-Rachaya;;68757;;69608;;138365
LBN;Lebanon;1;2;An Nabatiyah;Marjayoun-Hasbaya;;79246;;77543;;156789